HISTÓRICO DE PARTIDAS

  [2026-06-01] Astronauta      | FÁCIL   | 02/05 | Secreto: 007 | VITÓRIA | 45 pts
  [2026-06-01] Zara            | FÁCIL   | 05/05 | Secreto: 003 | DERROTA | 0 pts
  [2026-06-02] Korvath         | MÉDIO   | 03/08 | Secreto: 023 | VITÓRIA | 50 pts
  [2026-06-02] Lena            | MÉDIO   | 08/08 | Secreto: 041 | DERROTA | 0 pts
  [2026-06-03] Rex             | DIFÍCIL | 02/10 | Secreto: 077 | VITÓRIA | 80 pts
  [2026-06-04] Orion           | DIFÍCIL | 10/10 | Secreto: 055 | DERROTA | 0 pts
  [2026-06-05] Nova            | FÁCIL   | 01/05 | Secreto: 014 | VITÓRIA | 50 pts
  [2026-06-05] Cassidy         | FÁCIL   | 05/05 | Secreto: 009 | DERROTA | 0 pts
  [2026-06-06] Draco           | MÉDIO   | 04/08 | Secreto: 031 | VITÓRIA | 45 pts
  [2026-06-06] Lyra            | MÉDIO   | 08/08 | Secreto: 067 | DERROTA | 0 pts
  [2026-06-07] Atlas           | DIFÍCIL | 03/10 | Secreto: 088 | VITÓRIA | 75 pts
  [2026-06-07] Cygnus          | DIFÍCIL | 10/10 | Secreto: 012 | DERROTA | 0 pts
  [2026-06-08] Orion           | FÁCIL   | 03/05 | Secreto: 016 | VITÓRIA | 40 pts
  [2026-06-08] Vega            | FÁCIL   | 05/05 | Secreto: 008 | DERROTA | 0 pts
  [2026-06-09] Sirius          | MÉDIO   | 02/08 | Secreto: 044 | VITÓRIA | 55 pts
  [2026-06-09] Phoebe          | MÉDIO   | 08/08 | Secreto: 073 | DERROTA | 0 pts
  [2026-06-10] Titan           | DIFÍCIL | 04/10 | Secreto: 091 | VITÓRIA | 70 pts
  [2026-06-10] Nebula          | DIFÍCIL | 10/10 | Secreto: 036 | DERROTA | 0 pts
